Livestock,Area,Year,Value,Flags
"Total lambs marked and/or tailed","Northland","As at June 30 2008",370664,
"Total lambs marked and/or tailed","Northland","As at June 30 2009",333674,
"Total lambs marked and/or tailed","Northland","As at June 30 2010",337757,
"Total lambs marked and/or tailed","Northland","As at June 30 2011",285574,
"Total lambs marked and/or tailed","Northland","As at June 30 2012",340156,
"Total lambs marked and/or tailed","Northland","As at June 30 2013",304935,
"Total lambs marked and/or tailed","Northland","As at June 30 2014",239176,
"Total lambs marked and/or tailed","Northland","As at June 30 2015",294277,
"Total lambs marked and/or tailed","Northland","As at June 30 2016",297971,
"Total lambs marked and/or tailed","Northland","As at June 30 2017",277385,
"Total deer","Northland","As at June 30 1994",18141,
"Total deer","Northland","As at June 30 2002",23412,
"Total deer","Northland","As at June 30 2003",18922,
"Total deer","Northland","As at June 30 2004",16746,
"Total deer","Northland","As at June 30 2006",8703,
"Total deer","Northland","As at June 30 2007",7566,
"Total deer","Northland","As at June 30 2008",6564,
"Total deer","Northland","As at June 30 2009",5596,
"Total deer","Northland","As at June 30 2010",6663,
"Total deer","Northland","As at June 30 2011",3474,
"Total deer","Northland","As at June 30 2012",5158,
"Total deer","Northland","As at June 30 2013",4744,
"Total deer","Northland","As at June 30 2014",2931,
"Total deer","Northland","As at June 30 2015",4748,
"Total deer","Northland","As at June 30 2016",4824,
"Total deer","Northland","As at June 30 2017",4913,
"Fawns weaned","Northland","As at June 30 1994",5228,
"Fawns weaned","Northland","As at June 30 2002",9581,
"Fawns weaned","Northland","As at June 30 2003",7707,
"Fawns weaned","Northland","As at June 30 2004",7200,
"Fawns weaned","Northland","As at June 30 2007",2628,
"Fawns weaned","Northland","As at June 30 2008",1863,
"Fawns weaned","Northland","As at June 30 2009",1869,
"Fawns weaned","Northland","As at June 30 2010",2262,
"Fawns weaned","Northland","As at June 30 2011",1032,
"Fawns weaned","Northland","As at June 30 2012",1580,
"Fawns weaned","Northland","As at June 30 2013",1519,
"Fawns weaned","Northland","As at June 30 2014",426,
"Fawns weaned","Northland","As at June 30 2015",1449,
"Fawns weaned","Northland","As at June 30 2016",1779,
"Fawns weaned","Northland","As at June 30 2017",952,
"Total pigs","Northland","As at June 30 1994",6245,
"Total pigs","Northland","As at June 30 2002",4708,
"Total pigs","Northland","As at June 30 2003",5163,
"Total pigs","Northland","As at June 30 2004",4927,
"Total pigs","Northland","As at June 30 2005",7052,
"Total pigs","Northland","As at June 30 2006",4743,
"Total pigs","Northland","As at June 30 2007",3959,
"Total pigs","Northland","As at June 30 2008",4899,
"Total pigs","Northland","As at June 30 2009",6381,
"Total pigs","Northland","As at June 30 2010",2902,
"Total pigs","Northland","As at June 30 2011",3155,
"Total pigs","Northland","As at June 30 2012",2917,
"Total pigs","Northland","As at June 30 2013",2808,
"Total pigs","Northland","As at June 30 2014",997,
"Total pigs","Northland","As at June 30 2015",2635,
"Total pigs","Northland","As at June 30 2016",3321,
"Total pigs","Northland","As at June 30 2017",3053,
"Piglets weaned","Northland","As at June 30 2003",9556,
"Piglets weaned","Northland","As at June 30 2004",11054,
"Piglets weaned","Northland","As at June 30 2005",16753,
"Piglets weaned","Northland","As at June 30 2006",9293,
"Piglets weaned","Northland","As at June 30 2007",8576,
"Piglets weaned","Northland","As at June 30 2008",10301,
"Piglets weaned","Northland","As at June 30 2009",13279,
"Piglets weaned","Northland","As at June 30 2010",6326,
"Piglets weaned","Northland","As at June 30 2011",6675,
"Piglets weaned","Northland","As at June 30 2012",7564,
"Piglets weaned","Northland","As at June 30 2013",6120,
"Piglets weaned","Northland","As at June 30 2014",1687,
"Piglets weaned","Northland","As at June 30 2015",,c
"Piglets weaned","Northland","As at June 30 2016",,c
"Piglets weaned","Northland","As at June 30 2017",6914,
"Total horses","Northland","As at June 30 1994",3549,
"Total horses","Northland","As at June 30 2002",3097,
"Total horses","Northland","As at June 30 2003",4264,
"Total horses","Northland","As at June 30 2004",3337,
"Total horses","Northland","As at June 30 2007",2724,
"Total horses","Northland","As at June 30 2008",3015,
"Total horses","Northland","As at June 30 2009",3175,
"Total horses","Northland","As at June 30 2011",2718,
"Total horses","Northland","As at June 30 2012",3026,
"Total horses","Northland","As at June 30 2013",3332,
"Total horses","Northland","As at June 30 2014",2363,
"Total horses","Northland","As at June 30 2015",1836,
"Total horses","Northland","As at June 30 2016",1869,
"Total horses","Northland","As at June 30 2017",1700,
"Total beef cattle","Auckland","As at June 30 1994",213739,
"Total beef cattle","Auckland","As at June 30 2002",172348,
"Total beef cattle","Auckland","As at June 30 2003",180066,
"Total beef cattle","Auckland","As at June 30 2004",166039,
"Total beef cattle","Auckland","As at June 30 2005",167868,
"Total beef cattle","Auckland","As at June 30 2006",147748,
"Total beef cattle","Auckland","As at June 30 2007",156787,
"Total beef cattle","Auckland","As at June 30 2008",143366,
"Total beef cattle","Auckland","As at June 30 2009",135008,
"Total beef cattle","Auckland","As at June 30 2010",133998,
"Total beef cattle","Auckland","As at June 30 2011",120337,
"Total beef cattle","Auckland","As at June 30 2012",117458,
"Total beef cattle","Auckland","As at June 30 2013",115826,
"Total beef cattle","Auckland","As at June 30 2014",119267,
"Total beef cattle","Auckland","As at June 30 2015",111292,
"Total beef cattle","Auckland","As at June 30 2016",121690,
"Total beef cattle","Auckland","As at June 30 2017",111948,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 1994",46814,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2002",30774,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2003",31083,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2004",26355,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2005",24619,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2006",23585,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2007",23668,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2008",21464,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2009",19943,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2010",20523,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2011",15637,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2012",15796,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2013",14735,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2014",15519,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2015",15234,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2016",19510,
"Calves born alive to beef heifers/cows","Auckland","As at June 30 2017",17965,
"Total dairy cattle","Auckland","As at June 30 1994",168754,
"Total dairy cattle","Auckland","As at June 30 2002",150089,
"Total dairy cattle","Auckland","As at June 30 2003",167559,
"Total dairy cattle","Auckland","As at June 30 2004",141618,
"Total dairy cattle","Auckland","As at June 30 2005",122015,
"Total dairy cattle","Auckland","As at June 30 2006",122234,
"Total dairy cattle","Auckland","As at June 30 2007",113344,
"Total dairy cattle","Auckland","As at June 30 2008",115883,
"Total dairy cattle","Auckland","As at June 30 2009",94391,
"Total dairy cattle","Auckland","As at June 30 2010",98416,
"Total dairy cattle","Auckland","As at June 30 2011",129768,
"Total dairy cattle","Auckland","As at June 30 2012",117281,
"Total dairy cattle","Auckland","As at June 30 2013",110288,
"Total dairy cattle","Auckland","As at June 30 2014",100086,
"Total dairy cattle","Auckland","As at June 30 2015",124668,
"Total dairy cattle","Auckland","As at June 30 2016",165417,
"Total dairy cattle","Auckland","As at June 30 2017",132323,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 1994",110651,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2002",97094,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2003",95413,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2004",87946,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2005",79594,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2006",82255,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2007",72377,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2008",67471,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2009",64176,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2010",59803,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2011",73651,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2012",68559,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2013",54868,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2014",48597,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2015",80959,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2016",93697,
"Calves born alive to dairy heifers/cows","Auckland","As at June 30 2017",88319,
"Total sheep","Auckland","As at June 30 1994",498152,
"Total sheep","Auckland","As at June 30 2002",368217,
"Total sheep","Auckland","As at June 30 2003",361345,
"Total sheep","Auckland","As at June 30 2004",325188,
"Total sheep","Auckland","As at June 30 2005",318201,
"Total sheep","Auckland","As at June 30 2006",293760,
"Total sheep","Auckland","As at June 30 2007",287589,
"Total sheep","Auckland","As at June 30 2008",264979,
"Total sheep","Auckland","As at June 30 2009",257248,
"Total sheep","Auckland","As at June 30 2010",235414,
"Total sheep","Auckland","As at June 30 2011",219952,
"Total sheep","Auckland","As at June 30 2012",205270,
"Total sheep","Auckland","As at June 30 2013",212437,
"Total sheep","Auckland","As at June 30 2014",215932,
"Total sheep","Auckland","As at June 30 2015",240830,
"Total sheep","Auckland","As at June 30 2016",202200,
"Total sheep","Auckland","As at June 30 2017",253074,
"Total lambs marked and/or tailed","Auckland","As at June 30 1994",276776,
"Total lambs marked and/or tailed","Auckland","As at June 30 2002",247354,
"Total lambs marked and/or tailed","Auckland","As at June 30 2004",222441,
"Total lambs marked and/or tailed","Auckland","As at June 30 2005",222328,
"Total lambs marked and/or tailed","Auckland","As at June 30 2006",222046,
"Total lambs marked and/or tailed","Auckland","As at June 30 2007",198022,
"Total lambs marked and/or tailed","Auckland","As at June 30 2008",184070,
"Total lambs marked and/or tailed","Auckland","As at June 30 2009",195108,
"Total lambs marked and/or tailed","Auckland","As at June 30 2010",168422,
"Total lambs marked and/or tailed","Auckland","As at June 30 2011",151294,
"Total lambs marked and/or tailed","Auckland","As at June 30 2012",152369,
"Total lambs marked and/or tailed","Auckland","As at June 30 2013",144599,
"Total lambs marked and/or tailed","Auckland","As at June 30 2014",148985,
"Total lambs marked and/or tailed","Auckland","As at June 30 2015",167106,
"Total lambs marked and/or tailed","Auckland","As at June 30 2016",159037,
"Total lambs marked and/or tailed","Auckland","As at June 30 2017",204082,
"Total deer","Auckland","As at June 30 1994",33916,
"Total deer","Auckland","As at June 30 2002",20259,
"Total deer","Auckland","As at June 30 2003",23241,
"Total deer","Auckland","As at June 30 2004",23483,
"Total deer","Auckland","As at June 30 2006",15271,
"Total deer","Auckland","As at June 30 2007",12304,
"Total deer","Auckland","As at June 30 2008",12240,
